SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018
50,3,6,21,1,Kentucky,Adair County,18656,18661,18761,18991,18937,19126,19265,19168,19264,19294,19215,100,230,-54,189,139,-97,96,30,-79,39,195,179,231,221,205,222,224,207,31,185,187,203,182,195,182,221,235,8,10,-8,28,39,10,40,3,-28,1,4,-1,19,6,8,8,6,6,78,211,-41,139,95,-118,48,23,-57,79,215,-42,158,101,-110,56,29,-51,13,5,-4,3,-1,3,0,-2,0,1055,1180,1299,1312,1364,1408,1254,1258,1179,1185,10.33057851,9.438936933,12.13777159,11.51311505,10.66791559,11.55287261,11.6188599,10.7507336,9.800805255,9.860788863,10.66652655,9.481388867,10.14752947,9.471273938,11.46325017,12.20493911,0.529773257,-0.42185193,1.471245041,2.031726186,0.520386127,2.081598668,0.155609731,-1.45420551,0.211909303,-0.052731491,0.998344849,0.312573259,0.416308901,0.416319734,0.311219462,0.311615467,11.17821572,-2.161991141,7.30368074,4.949076607,-6.140556293,2.497918401,1.193007936,-2.960346932,11.39012503,-2.214722632,8.302025589,5.261649866,-5.724247392,2.914238135,1.504227398,-2.648731465
50,3,6,21,11,Kentucky,Bath County,11591,11585,11616,11714,11781,11974,12131,12201,12245,12378,12383,31,98,67,193,157,70,44,133,5,36,148,149,183,163,161,167,168,159,18,155,133,129,134,140,166,133,163,18,-7,16,54,29,21,1,35,-4,1,3,2,-2,0,3,3,3,2,12,101,49,141,127,47,40,96,8,13,104,51,139,127,50,43,99,10,0,1,0,0,1,-1,0,-1,-1,103,103,103,103,103,103,103,103,103,103,12.68752679,12.68354969,15.40728268,13.52416511,13.23360184,13.66276692,13.64577834,12.84277695,13.28761252,11.32155778,10.8608714,11.11802531,11.50747986,13.58095394,10.80290785,13.16586568,-0.600085727,1.361991913,4.546411282,2.406139805,1.726121979,0.081812976,2.842870487,-0.323088728,0.257179597,0.170248989,-0.168385603,0,0.246588854,0.245438927,0.243674613,0.161544364,8.658379769,4.171100234,11.87118501,10.53723294,3.863225382,3.272519022,7.797587621,0.646177457,8.915559366,4.341349223,11.70279941,10.53723294,4.109814236,3.517957948,8.041262235,0.807721821
50,3,6,21,21,Kentucky,Boyle County,28432,28437,28668,28796,29021,29634,29810,29762,29933,29958,30100,231,128,225,613,176,-48,171,25,142,83,302,292,302,340,324,322,314,321,58,322,328,265,310,335,328,319,323,25,-20,-36,37,30,-11,-6,-5,-2,4,7,8,20,12,16,16,15,14,183,143,249,540,139,-49,162,17,132,187,150,257,560,151,-33,178,32,146,19,-2,4,16,-5,-4,-1,-2,-2,2301,2461,2502,2654,3200,3211,3225,3242,3254,3267,10.51092858,10.10083539,10.29750234,11.43933786,10.8775935,10.78817321,10.48571572,10.68966666,11.20701657,11.34614387,9.035887819,10.42998452,11.24689451,10.98919508,10.65268571,10.75626894,-0.696087986,-1.245308473,1.261614526,1.009353341,-0.369301014,-0.201021861,-0.166969995,-0.066602284,0.243630795,0.276735216,0.681953798,0.403741336,0.537165111,0.536058296,0.500909987,0.466215991,4.977029097,8.613383607,18.41275254,4.67667048,-1.645068153,5.42759025,0.567697985,4.395750774,5.220659891,8.890118823,19.09470633,5.080411816,-1.107903042,5.963648547,1.068607971,4.861966766
50,3,6,21,31,Kentucky,Butler County,12690,12697,12734,12717,12740,12704,12736,12734,12683,12798,12772,37,-17,23,-36,32,-2,-51,115,-26,36,144,147,145,175,155,154,150,149,15,154,154,135,148,140,164,143,128,21,-10,-7,10,27,15,-10,7,21,4,19,24,0,1,1,1,0,0,13,-25,4,-45,6,-18,-42,110,-46,17,-6,28,-45,7,-17,-41,110,-46,-1,-1,2,-1,-2,0,0,-2,-1,203,203,203,203,203,203,203,203,203,203,11.31586185,11.54888636,11.397579,13.75786164,12.17118178,12.11787386,11.77347828,11.65428236,12.10168559,12.09883333,10.61153907,11.63522013,10.99332548,12.90474879,11.22404929,10.0117325,-0.78582374,-0.549946969,0.786039931,2.122641509,1.177856302,-0.786874926,0.549428986,1.642549863,1.493065106,1.885532467,0,0.078616352,0.078523753,0.078687493,0,0,-1.964559349,0.314255411,-3.537179689,0.471698113,-1.413427562,-3.30487469,8.633884071,-3.597966367,-0.471494244,2.199787878,-3.537179689,0.550314465,-1.334903808,-3.226187198,8.633884071,-3.597966367
50,3,6,21,41,Kentucky,Carroll County,10811,10807,10806,10996,10882,10850,10755,10700,10633,10728,10737,-1,190,-114,-32,-95,-55,-67,95,9,39,166,167,160,143,171,164,155,153,14,113,133,129,112,154,156,129,123,25,53,34,31,31,17,8,26,30,7,35,22,5,-7,0,0,0,0,-34,100,-174,-68,-122,-71,-76,70,-21,-27,135,-152,-63,-129,-71,-76,70,-21,1,2,4,0,3,-1,1,-1,0,325,325,325,325,325,325,325,325,325,325,15.22796074,15.26647774,14.72482974,13.23767646,15.94034025,15.37524024,14.51242919,14.2557652,10.36602147,12.15833257,11.87189398,10.36797038,14.35562806,14.62522852,12.07808623,11.46051712,4.861939272,3.108145169,2.852935763,2.869706087,1.584712188,0.750011719,2.434342962,2.795248078,3.210714613,2.011152756,0.46015093,-0.647998149,0,0,0,0,9.173470324,-15.90638998,-6.258052641,-11.29368202,-6.618503845,-7.12511133,6.554000281,-1.956673655,12.38418494,-13.89523722,-5.797901712,-11.94168017,-6.618503845,-7.12511133,6.554000281,-1.956673655
50,3,6,21,51,Kentucky,Clay County,21730,21729,21660,21594,21527,21198,21094,20990,20643,20273,20105,-69,-66,-67,-329,-104,-104,-347,-370,-168,79,298,303,272,297,280,260,231,222,91,289,268,244,240,234,304,261,236,-12,9,35,28,57,46,-44,-30,-14,1,-1,1,5,7,10,11,12,18,-62,-74,-103,-368,-171,-160,-317,-355,-171,-61,-75,-102,-363,-164,-150,-306,-343,-153,4,0,0,6,3,0,3,3,-1,2240,2208,2209,2183,2093,2064,2034,1867,1714,1708,13.77907246,14.05347742,12.73259216,14.0452095,13.30671989,12.49009199,11.29142634,10.99608698,13.36292597,12.43013845,11.42188414,11.34966424,11.12061591,14.60379987,12.75784534,11.68953391,0.416146484,1.623338976,1.310708016,2.695545257,2.186103983,-2.113707876,-1.466419005,-0.693446927,-0.046238498,0.046381114,0.234055003,0.331031874,0.475239996,0.528426969,0.586567602,0.89157462,-3.421648865,-4.777254702,-17.22644822,-8.0866357699999991,-7.603839939,-15.22830447,-17.35262489,-8.469958889,-3.467887363,-4.730873588,-16.99239321,-7.755603897,-7.128599943,-14.6998775,-16.76605729,-7.578384269
50,3,6,21,61,Kentucky,Edmonson County,12161,12177,12228,12230,12095,12062,12010,11995,12081,12248,12274,51,2,-135,-33,-52,-15,86,167,26,26,112,100,97,107,110,114,123,123,18,124,122,143,138,148,134,148,151,8,-12,-22,-46,-31,-38,-20,-25,-28,-1,-1,5,9,2,1,1,-1,-1,39,17,-119,7,-22,25,105,192,55,38,16,-114,16,-20,26,106,191,54,5,-2,1,-3,-1,-3,0,1,0,323,351,348,351,357,351,353,353,353,354,9.158557527,8.221993834,8.030798526,8.889996677,9.164757342,9.47001163,10.1113897,10.03180817,10.13983155,10.03083248,11.83921845,11.46560319,12.33076442,11.13141718,12.16655021,12.31547182,-0.981274021,-1.808838643,-3.80841992,-2.575606514,-3.166007082,-1.661405549,-2.055160508,-2.283663649,-0.081772835,0.411099692,0.745125637,0.166168162,0.083315976,0.083070278,-0.08220642,-0.081559416,1.390138196,-9.784172662,0.579542162,-1.827849784,2.082899396,8.722379133,15.7836327,4.485767882,1.308365361,-9.37307297,1.324667798,-1.661681622,2.166215372,8.80544941,15.70142628,4.404208466
50,3,6,21,71,Kentucky,Floyd County,39451,39450,39931,39755,39147,38486,38010,37535,36979,36261,35845,481,-176,-608,-661,-476,-475,-556,-718,-416,130,540,542,530,474,460,455,428,398,155,516,522,516,467,509,556,547,534,-25,24,20,14,7,-49,-101,-119,-136,2,4,13,12,9,10,12,7,7,444,-202,-660,-701,-500,-439,-467,-609,-287,446,-198,-647,-689,-491,-429,-455,-602,-280,60,-2,19,14,8,3,0,3,0,790,1310,1326,988,681,671,668,673,669,667,13.5531963,13.73856176,13.65398735,12.39280485,12.17817195,12.21247014,11.6876024,11.03930325,12.95083202,13.23160376,13.29331599,12.20978875,13.47541201,14.92337011,14.93719279,14.81152747,0.60236428,0.506957999,0.360671364,0.183016105,-1.297240056,-2.710899965,-3.249590388,-3.772224225,0.100394047,0.329522699,0.309146883,0.235306421,0.264742869,0.322087125,0.191152376,0.1941586,-5.069899355,-16.72961395,-18.05933044,-13.07257896,-11.62221193,-12.53455726,-16.63025669,-7.960502593,-4.969505308,-16.40009125,-17.75018356,-12.83727254,-11.35746906,-12.21247014,-16.43910431,-7.766343994
50,3,6,21,81,Kentucky,Grant County,24662,24658,24680,24757,24507,24553,24814,24727,24915,25000,25121,22,77,-250,46,261,-87,188,85,121,84,347,378,321,371,362,375,385,394,30,185,229,228,221,233,255,248,247,54,162,149,93,150,129,120,137,147,-1,-8,-4,-4,-8,-4,-4,-5,-5,-30,-77,-406,-40,123,-211,71,-46,-19,-31,-85,-410,-44,115,-215,67,-51,-24,-1,0,11,-3,-4,-1,1,-1,-2,457,457,457,457,457,457,456,456,456,456,14.03806865,15.34589152,13.08601712,15.03028339,14.61415797,15.10817453,15.42622458,15.72195287,7.484272913,9.296849627,9.294741133,8.953349403,9.406350296,10.27355868,9.936892718,9.856148122,6.55379574,6.049041897,3.791275989,6.076933984,5.207807675,4.83461585,5.489331864,5.865804753,-0.323644234,-0.162390386,-0.163065634,-0.324103146,-0.161482409,-0.161153862,-0.200340579,-0.199517168,-3.115075753,-16.48262423,-1.630656339,4.983085867,-8.518197049,2.860481044,-1.843133327,-0.75816524,-3.438719987,-16.64501462,-1.793721973,4.658982721,-8.679679457,2.699327183,-2.043473906,-0.957682409
50,3,6,21,91,Kentucky,Hancock County,8565,8565,8551,8590,8643,8630,8685,8644,8728,8778,8758,-14,39,53,-13,55,-41,84,50,-20,25,104,114,105,104,124,123,124,115,31,83,65,95,82,75,83,85,81,-6,21,49,10,22,49,40,39,34,0,-2,-1,-1,-1,-2,-1,-2,-2,-7,21,7,-22,36,-89,44,14,-51,-7,19,6,-23,35,-91,43,12,-53,-1,-1,-2,0,-2,1,1,-1,-1,90,90,90,90,90,90,90,90,90,90,12.13464792,13.23042999,12.15770277,12.01270575,14.31127013,14.1607184,14.16657146,13.11587591,9.684382475,7.543666222,10.99982632,9.471556454,8.656010156,9.555606724,9.710956244,9.238138686,2.450265445,5.686763767,1.157876455,2.541149293,5.655259969,4.605111674,4.455615218,3.877737226,-0.233358614,-0.116056403,-0.115787645,-0.115506786,-0.230826938,-0.115127792,-0.228493088,-0.22810219,2.450265445,0.812394824,-2.5473282,4.158244297,-10.27179872,5.065622841,1.599451617,-5.816605839,2.216906832,0.696338421,-2.663115846,4.042737511,-10.50262566,4.95049505,1.370958529,-6.044708029
