SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018
40,3,6,21,0,Kentucky,Kentucky,4339367,4339333,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402,8867,21288,16893,18436,9666,11516,12230,15645,14528,13696,55319,55290,56047,55757,55948,55666,54793,53803,10539,42430,42787,44424,43684,46367,46758,46577,45778,3157,12889,12503,11623,12073,9581,8908,8216,8025,1512,5057,7841,8887,5034,7459,7104,5923,5816,4035,3434,-3330,-2018,-7165,-5351,-3670,1627,798,5547,8491,4511,6869,-2131,2108,3434,7550,6614,163,-92,-121,-56,-276,-173,-112,-121,-111,125870,127776,129094,130837,131207,129426,131597,130719,132255,131697,12.69120895,12.62924331,12.75070815,12.64431418,12.65722842,12.55969499,12.32396881,12.06037563,9.734232287,9.773330323,10.10647241,9.906455161,10.48969954,10.54981889,10.476037,10.26150727,2.956976666,2.855912988,2.644235746,2.737859014,2.167528875,2.0098761,1.847931811,1.798868361,1.16016999,1.791027253,2.021794982,1.141587201,1.687464552,1.602846858,1.332193296,1.303703226,0.787823561,-0.760632668,-0.459095564,-1.624845509,-1.210567478,-0.828047293,0.36594268,0.178878125,1.947993551,1.030394585,1.562699418,-0.483258308,0.476897074,0.774799565,1.698135975,1.48258135
50,3,6,21,1,Kentucky,Adair County,18656,18661,18761,18991,18937,19126,19265,19168,19264,19294,19215,100,230,-54,189,139,-97,96,30,-79,39,195,179,231,221,205,222,224,207,31,185,187,203,182,195,182,221,235,8,10,-8,28,39,10,40,3,-28,1,4,-1,19,6,8,8,6,6,78,211,-41,139,95,-118,48,23,-57,79,215,-42,158,101,-110,56,29,-51,13,5,-4,3,-1,3,0,-2,0,1055,1180,1299,1312,1364,1408,1254,1258,1179,1185,10.33057851,9.438936933,12.13777159,11.51311505,10.66791559,11.55287261,11.6188599,10.7507336,9.800805255,9.860788863,10.66652655,9.481388867,10.14752947,9.471273938,11.46325017,12.20493911,0.529773257,-0.42185193,1.471245041,2.031726186,0.520386127,2.081598668,0.155609731,-1.45420551,0.211909303,-0.052731491,0.998344849,0.312573259,0.416308901,0.416319734,0.311219462,0.311615467,11.17821572,-2.161991141,7.30368074,4.949076607,-6.140556293,2.497918401,1.193007936,-2.960346932,11.39012503,-2.214722632,8.302025589,5.261649866,-5.724247392,2.914238135,1.504227398,-2.648731465
50,3,6,21,3,Kentucky,Allen County,19956,19968,20048,20190,20250,20333,20510,20678,20738,20921,21122,80,142,60,83,177,168,60,183,201,67,248,240,265,263,244,249,239,230,19,216,204,224,194,248,226,253,253,48,32,36,41,69,-4,23,-14,-23,2,7,-2,1,-2,2,2,7,7,31,104,31,44,112,169,36,189,217,33,111,29,45,110,171,38,196,224,-1,-1,-5,-3,-2,1,-1,1,0,197,197,197,197,197,197,197,197,197,197,12.32665639,11.8694362,13.05965552,12.87858385,11.8481111,12.02433842,11.47411124,10.94117927,10.73612009,10.08902077,11.03910504,9.499791886,12.04234243,10.91365656,12.14623491,12.0352972,1.590536309,1.78041543,2.020550477,3.37879196,-0.19423133,1.110681862,-0.672123671,-1.094117927,0.347929818,-0.098911968,0.049281719,-0.097935999,0.097115665,0.096581032,0.336061835,0.332992413,5.169243004,1.533135509,2.168395634,5.484415934,8.206273672,1.738458567,9.073669555,10.32276479,5.517172822,1.434223541,2.217677353,5.386479935,8.303389337,1.835039598,9.409731391,10.6557572
50,3,6,21,5,Kentucky,Anderson County,21421,21449,21457,21551,21686,21737,21853,21891,22146,22518,22663,8,94,135,51,116,38,255,372,145,44,247,264,239,253,251,271,274,268,68,196,173,189,220,215,209,229,202,-24,51,91,50,33,36,62,45,66,2,-1,0,3,4,3,3,2,2,31,46,47,1,84,0,190,326,79,33,45,47,4,88,3,193,328,81,-1,-2,-3,-3,-5,-1,0,-1,-2,108,108,108,108,108,108,108,108,108,108,11.48623512,12.21176307,11.00799116,11.60816701,11.47585955,12.30783205,12.26938922,11.86339391,9.114583333,8.002405347,8.705064137,10.09405827,9.829919532,9.492018076,10.25434354,8.941811824,2.371651786,4.209357726,2.30292702,1.514108741,1.645940015,2.815813975,2.015045674,2.921582081,-0.046502976,0,0.138175621,0.183528332,0.137161668,0.136249063,0.089557586,0.08853279,2.139136905,2.174063881,0.04605854,3.854094976,0,8.629107342,14.59788644,3.497045218,2.092633929,2.174063881,0.184234162,4.037623308,0.137161668,8.765356405,14.68744403,3.585578009
50,3,6,21,7,Kentucky,Ballard County,8249,8246,8260,8269,8287,8254,8189,8216,8045,8021,7979,14,9,18,-33,-65,27,-171,-24,-42,19,100,81,79,77,86,82,73,70,16,105,102,107,100,116,104,106,108,3,-5,-21,-28,-23,-30,-22,-33,-38,0,2,3,0,1,1,1,1,1,13,13,36,-4,-43,56,-149,7,-4,13,15,39,-4,-42,57,-148,8,-3,-2,-1,0,-1,0,0,-1,1,-1,127,127,127,127,127,127,127,127,127,127,12.09994555,9.784972216,9.552022248,9.365687527,10.48460835,10.0854806,9.087514005,8.75,12.70494283,12.32181686,12.93754912,12.16323055,14.14202987,12.79134125,13.19556828,13.5,-0.604997278,-2.536844648,-3.385526873,-2.797543027,-3.657421518,-2.705860648,-4.108054276,-4.75,0.241998911,0.362406378,0,0.121632306,0.121914051,0.122993666,0.124486493,0.125,1.572992922,4.34887654,-0.483646696,-5.230189138,6.827186833,-18.32605621,0.871405453,-0.5,1.814991833,4.711282919,-0.483646696,-5.108556833,6.949100884,-18.20306254,0.995891946,-0.375
50,3,6,21,9,Kentucky,Barren County,42173,42169,42123,42329,42620,42952,43048,43566,43794,43815,44176,-46,206,291,332,96,518,228,21,361,112,518,532,530,576,553,573,582,550,121,439,468,442,501,512,499,508,517,-9,79,64,88,75,41,74,74,33,7,28,40,43,22,30,32,26,26,-43,104,191,204,7,446,123,-76,303,-36,132,231,247,29,476,155,-50,329,-1,-5,-4,-3,-8,1,-1,-3,-1,702,702,702,702,702,702,702,702,702,703,12.26732345,12.52516216,12.38722947,13.39534884,12.76929827,13.11813187,13.2863062,12.50127854,10.39643821,11.01837573,10.33048193,11.65116279,11.8225691,11.42399267,11.59698205,11.75120183,1.870885237,1.506786425,2.056747534,1.744186047,0.946729166,1.694139194,1.689324156,0.750076712,0.663098565,0.941741516,1.005001636,0.511627907,0.692728658,0.732600733,0.593546325,0.590969531,2.462937527,4.496815737,4.767914739,0.162790698,10.29856605,2.815934066,-1.734981566,6.887067996,3.126036092,5.438557252,5.772916375,0.674418605,10.99129471,3.548534799,-1.141435241,7.478037527
50,3,6,21,11,Kentucky,Bath County,11591,11585,11616,11714,11781,11974,12131,12201,12245,12378,12383,31,98,67,193,157,70,44,133,5,36,148,149,183,163,161,167,168,159,18,155,133,129,134,140,166,133,163,18,-7,16,54,29,21,1,35,-4,1,3,2,-2,0,3,3,3,2,12,101,49,141,127,47,40,96,8,13,104,51,139,127,50,43,99,10,0,1,0,0,1,-1,0,-1,-1,103,103,103,103,103,103,103,103,103,103,12.68752679,12.68354969,15.40728268,13.52416511,13.23360184,13.66276692,13.64577834,12.84277695,13.28761252,11.32155778,10.8608714,11.11802531,11.50747986,13.58095394,10.80290785,13.16586568,-0.600085727,1.361991913,4.546411282,2.406139805,1.726121979,0.081812976,2.842870487,-0.323088728,0.257179597,0.170248989,-0.168385603,0,0.246588854,0.245438927,0.243674613,0.161544364,8.658379769,4.171100234,11.87118501,10.53723294,3.863225382,3.272519022,7.797587621,0.646177457,8.915559366,4.341349223,11.70279941,10.53723294,4.109814236,3.517957948,8.041262235,0.807721821
50,3,6,21,13,Kentucky,Bell County,28691,28691,28709,28657,28296,28047,27847,27391,27231,26904,26569,18,-52,-361,-249,-200,-456,-160,-327,-335,85,352,387,377,326,339,343,333,333,95,378,375,362,375,397,401,406,365,-10,-26,12,15,-49,-58,-58,-73,-32,1,-6,-5,5,1,9,9,14,14,26,-18,-378,-270,-149,-408,-109,-269,-318,27,-24,-383,-265,-148,-399,-100,-255,-304,1,-2,10,1,-3,1,-2,1,1,952,952,949,950,952,952,952,951,930,945,12.27207754,13.59015328,13.38231901,11.6649372,12.27415909,12.55904214,12.30257689,12.45488377,13.17853781,13.16875318,12.849866,13.41825599,14.37416271,14.68272857,14.99953819,13.65174948,-0.906460273,0.421400102,0.532453011,-1.753318782,-2.100003621,-2.123686427,-2.6969613,-1.196865708,-0.20918314,-0.175583376,0.177484337,0.035782016,0.325862631,0.329537549,0.517225455,0.523628747,-0.62754942,-13.27410321,-9.584154198,-5.331520378,-14.77243926,-3.991065871,-9.938117669,-11.89385297,-0.836732559,-13.44968658,-9.406669861,-5.295738362,-14.44657663,-3.661528322,-9.420892214,-11.37022423
50,3,6,21,15,Kentucky,Boone County,118811,118815,119379,121545,123074,124680,126330,127818,129185,130611,131533,564,2166,1529,1606,1650,1488,1367,1426,922,432,1480,1549,1738,1679,1743,1674,1648,1660,140,678,671,784,774,844,879,957,1001,292,802,878,954,905,899,795,691,659,94,238,300,309,141,194,192,153,159,176,1117,364,359,613,411,385,588,108,270,1355,664,668,754,605,577,741,267,2,9,-13,-16,-9,-16,-5,-6,-4,835,835,835,835,835,835,835,835,835,834,12.28603211,12.66459269,14.03004593,13.37795307,13.71641721,13.02708529,12.6868774,12.66479492,5.628330926,5.486082438,6.328858464,6.167084977,6.641799267,6.840387077,7.367318973,7.637023926,6.657701184,7.178510255,7.701187468,7.210868093,7.074617939,6.18669821,5.319558423,5.027770996,1.975726785,2.452793937,2.494409777,1.123461217,1.5266695,1.494145983,1.177847234,1.213073731,9.272633694,2.976056643,2.898035955,4.884267559,3.234335899,2.996073976,4.526628586,0.823974609,11.24836048,5.42885058,5.392445733,6.007728776,4.761005398,4.490219959,5.70447582,2.03704834
50,3,6,21,17,Kentucky,Bourbon County,19985,20010,19967,20055,20061,20038,20074,20182,20147,20132,20184,-43,88,6,-23,36,108,-35,-15,52,47,221,246,235,217,228,227,236,235,76,199,199,199,187,218,226,240,236,-29,22,47,36,30,10,1,-4,-1,11,63,39,24,-2,7,6,13,15,-24,4,-78,-81,11,95,-41,-22,39,-13,67,-39,-57,9,102,-35,-9,54,-1,-1,-2,-2,-3,-4,-1,-2,-1,236,236,236,236,236,236,236,236,236,236,11.04392584,12.26443314,11.72099055,10.81970483,11.32750398,11.25740782,11.7182651,11.65790257,9.944530508,9.921228438,9.92543455,9.323893099,10.83068363,11.20781572,11.91687976,11.70751067,1.099395333,2.343204706,1.795555999,1.495811727,0.49682035,0.049592105,-0.198614663,-0.049608096,3.148268452,1.944361352,1.197037333,-0.099720782,0.347774245,0.29755263,0.645497654,0.744121441,0.199890061,-3.888722704,-4.040000998,0.5484643,4.719793323,-2.033276302,-1.092380645,1.934715746,3.348158513,-1.944361352,-2.842963665,0.448743518,5.067567568,-1.735723673,-0.446882991,2.678837186
